Actor, Title, Title Year, IMDB Rating
CCH Pounder,Avatar ,2009,7.9,
Johnny Depp,Pirates of the Caribbean: At World's End ,2007,7.1,
Christoph Waltz,Spectre ,2015,6.8,
Tom Hardy,The Dark Knight Rises ,2012,8.5,
Doug Walker,Star Wars: Episode VII - The Force Awakens             ,0,7.1,
Daryl Sabara,John Carter ,2012,6.6,
J.K. Simmons,Spider-Man 3 ,2007,6.2,
Brad Garrett,Tangled ,2010,7.8,
Chris Hemsworth,Avengers: Age of Ultron ,2015,7.5,
Alan Rickman,Harry Potter and the Half-Blood Prince ,2009,7.5,
Henry Cavill,Batman v Superman: Dawn of Justice ,2016,6.9,
Kevin Spacey,Superman Returns ,2006,6.1,
Giancarlo Giannini,Quantum of Solace ,2008,6.7,
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,2006,7.3,
Johnny Depp,The Lone Ranger ,2013,6.5,
Henry Cavill,Man of Steel ,2013,7.2,
Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,2008,6.6,
Chris Hemsworth,The Avengers ,2012,8.1,
Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,2011,6.7,
Will Smith,Men in Black 3 ,2012,6.8,
Aidan Turner,The Hobbit: The Battle of the Five Armies ,2014,7.5,
Emma Stone,The Amazing Spider-Man ,2012,7.0,
Mark Addy,Robin Hood ,2010,6.7,
Aidan Turner,The Hobbit: The Desolation of Smaug ,2013,7.9,
Christopher Lee,The Golden Compass ,2007,6.1,
Naomi Watts,King Kong ,2005,7.2,
Leonardo DiCaprio,Titanic ,1997,7.7,
Robert Downey Jr.,Captain America: Civil War ,2016,8.2,
Liam Neeson,Battleship ,2012,5.9,
Bryce Dallas Howard,Jurassic World ,2015,7.0,
Albert Finney,Skyfall ,2012,7.8,
J.K. Simmons,Spider-Man 2 ,2004,7.3,
Robert Downey Jr.,Iron Man 3 ,2013,7.2,
Johnny Depp,Alice in Wonderland ,2010,6.5,
Hugh Jackman,X-Men: The Last Stand ,2006,6.8,
Steve Buscemi,Monsters University ,2013,7.3,
Glenn Morshower,Transformers: Revenge of the Fallen ,2009,6.0,
Bingbing Li,Transformers: Age of Extinction ,2014,5.7,
Tim Holmes,Oz the Great and Powerful ,2013,6.4,
Emma Stone,The Amazing Spider-Man 2 ,2014,6.7,
Jeff Bridges,TRON: Legacy ,2010,6.8,
Joe Mantegna,Cars 2 ,2011,6.3,
Ryan Reynolds,Green Lantern ,2011,5.6,
Tom Hanks,Toy Story 3 ,2010,8.3,
Christian Bale,Terminator Salvation ,2009,6.6,
Jason Statham,Furious 7 ,2015,7.2,
Peter Capaldi,World War Z ,2013,7.0,
Jennifer Lawrence,X-Men: Days of Future Past ,2014,8.0,
Benedict Cumberbatch,Star Trek Into Darkness ,2013,7.8,
Eddie Marsan,Jack the Giant Slayer ,2013,6.3,
Leonardo DiCaprio,The Great Gatsby ,2013,7.3,
Jake Gyllenhaal,Prince of Persia: The Sands of Time ,2010,6.6,
Charlie Hunnam,Pacific Rim ,2013,7.0,
Glenn Morshower,Transformers: Dark of the Moon ,2011,6.3,
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,2008,6.2,
A.J. Buckley,The Good Dinosaur ,2015,6.8,
Kelly Macdonald,Brave ,2012,7.2,
Sofia Boutella,Star Trek Beyond ,2016,7.5,
John Ratzenberger,WALL·E ,2008,8.4,
Tzi Ma,Rush Hour 3 ,2007,6.2,
Oliver Platt,2012 ,2009,5.8,
Robin Wright,A Christmas Carol ,2009,6.8,
Channing Tatum,Jupiter Ascending ,2015,5.4,
Christoph Waltz,The Legend of Tarzan ,2016,6.6,
Jim Broadbent,"The Chronicles of Narnia: The Lion,180000000,190.0,
Jennifer Lawrence,X-Men: Apocalypse ,2016,7.3,
Christian Bale,The Dark Knight ,2008,9.0,
John Ratzenberger,Up ,2009,8.3,
Amy Poehler,Monsters vs. Aliens ,2009,6.5,
Robert Downey Jr.,Iron Man ,2008,7.9,
Chloë Grace Moretz,Hugo ,2011,7.5,
Will Smith,Wild Wild West ,1999,4.8,
Jet Li,The Mummy: Tomb of the Dragon Emperor ,2008,5.2,
Will Smith,Suicide Squad ,2016,6.9,
Jimmy Bennett,Evan Almighty ,2007,5.4,
Tom Cruise,Edge of Tomorrow ,2014,7.9,
Jeanne Tripplehorn,Waterworld ,1995,6.1,
Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,2009,5.8,
Amy Poehler,Inside Out ,2015,8.3,
Scarlett Johansson,The Jungle Book ,2016,7.8,
Robert Downey Jr.,Iron Man 2 ,2010,7.0,
Chris Hemsworth,Snow White and the Huntsman ,2012,6.1,
Angelina Jolie Pitt,Maleficent ,2014,7.0,
Gary Oldman,Dawn of the Planet of the Apes ,2014,7.6,
Tamsin Egerton,The Lovers ,2015,4.5,
Keanu Reeves,47 Ronin ,2013,6.3,
Scarlett Johansson,Captain America: The Winter Soldier ,2014,7.8,
Jon Hamm,Shrek Forever After ,2010,6.4,
Judy Greer,Tomorrowland ,2015,6.5,
Damon Wayans Jr.,Big Hero 6 ,2014,7.9,
Jack McBrayer,Wreck-It Ralph ,2012,7.8,
Tom Hanks,The Polar Express ,2004,6.6,
Vivica A. Fox,Independence Day: Resurgence ,2016,5.5,
Gerard Butler,How to Train Your Dragon ,2010,8.2,
Nick Stahl,Terminator 3: Rise of the Machines ,2003,6.4,
Bradley Cooper,Guardians of the Galaxy ,2014,8.1,
Matthew McConaughey,Interstellar ,2014,8.6,
Leonardo DiCaprio,Inception ,2010,8.8,
Mark Chinnery,Godzilla Resurgence ,2016,8.2,
Aidan Turner,The Hobbit: An Unexpected Journey ,2012,7.9,
Paul Walker,The Fast and the Furious ,2001,6.7,
Brad Pitt,The Curious Case of Benjamin Button ,2008,7.8,
Jennifer Lawrence,X-Men: First Class ,2011,7.8,
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,2015,6.6,
Nicolas Cage,The Sorcerer's Apprentice ,2010,6.1,
Jimmy Bennett,Poseidon ,2006,5.6,
Johnny Depp,Alice Through the Looking Glass ,2016,6.4,
Justin Timberlake,Shrek the Third ,2007,6.1,
Dominic Cooper,Warcraft ,2016,7.3,
J.K. Simmons,Terminator Genisys ,2015,6.6,
Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010,6.3,
Jennifer Garner,Pearl Harbor ,2001,6.1,
Zack Ward,Transformers ,2007,7.1,
Anthony Hopkins,Alexander ,2004,5.5,
Robert Pattinson,Harry Potter and the Order of the Phoenix ,2007,7.5,
Robert Pattinson,Harry Potter and the Goblet of Fire ,2005,7.6,
Will Smith,Hancock ,2008,6.4,
Will Smith,I Am Legend ,2007,7.2,
Johnny Depp,Charlie and the Chocolate Factory ,2005,6.7,
Janeane Garofalo,Ratatouille ,2007,8.0,
Christian Bale,Batman Begins ,2005,8.3,
Bernie Mac,Madagascar: Escape 2 Africa ,2008,6.7,
Robin Williams,Night at the Museum: Battle of the Smithsonian ,2009,5.9,
Hugh Jackman,X-Men Origins: Wolverine ,2009,6.7,
Essie Davis,The Matrix Revolutions ,2003,6.7,
Josh Gad,Frozen ,2013,7.6,
Steve Bastoni,The Matrix Reloaded ,2003,7.2,
Chris Hemsworth,Thor: The Dark World ,2013,7.1,
Tom Hardy,Mad Max: Fury Road ,2015,8.1,
Tom Hanks,Angels & Demons ,2009,6.7,
Chris Hemsworth,Thor ,2011,7.0,
Chloë Grace Moretz,Bolt ,2008,6.9,
Kelli Garner,G-Force ,2009,5.1,
Liam Neeson,Wrath of the Titans ,2012,5.8,
Johnny Depp,Dark Shadows ,2012,6.2,
Tom Cruise,Mission: Impossible - Rogue Nation ,2015,7.4,
Anthony Hopkins,The Wolfman ,2010,5.8,
Christoph Waltz,The Legend of Tarzan ,2016,6.6,
Matthew Broderick,Bee Movie ,2007,6.2,
Angelina Jolie Pitt,Kung Fu Panda 2 ,2011,7.3,
Seychelle Gabriel,The Last Airbender ,2010,4.2,
Philip Seymour Hoffman,Mission: Impossible III ,2006,6.9,
Channing Tatum,White House Down ,2013,6.4,
Elisabeth Harnois,Mars Needs Moms ,2011,5.4,
Hugh Jackman,Flushed Away ,2006,6.7,
Hugh Jackman,Pan ,2015,5.8,
Ty Burrell,Mr. Peabody & Sherman ,2014,6.9,
Brad Pitt,Troy ,2004,7.2,
Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,2012,6.9,
Toby Stephens,Die Another Day ,2002,6.1,
Ed Begley Jr.,Ghostbusters ,2016,5.5,
Bruce Willis,Armageddon ,1998,6.6,
Will Smith,Men in Black II ,2002,6.1,
Robin Wright,Beowulf ,2007,6.3,
J.K. Simmons,Kung Fu Panda 3 ,2016,7.2,
Tom Cruise,Mission: Impossible - Ghost Protocol ,2011,7.4,
Hugh Jackman,Rise of the Guardians ,2012,7.3,
John Michael Higgins,Fun with Dick and Jane ,2005,6.1,
Tom Cruise,The Last Samurai ,2003,7.7,
Christian Bale,Exodus: Gods and Kings ,2014,6.1,
Chris Hemsworth,Star Trek ,2009,8.0,
J.K. Simmons,Spider-Man ,2002,7.3,
Gerard Butler,How to Train Your Dragon 2 ,2014,7.9,
Gerard Butler,Gods of Egypt ,2016,5.5,
Sam Shepard,Stealth ,2005,5.0,
Matt Frewer,Watchmen ,2009,7.7,
Jet Li,Lethal Weapon 4 ,1998,6.6,
Kevin Rankin,Hulk ,2003,5.7,
Channing Tatum,G.I. Joe: Retaliation ,2013,5.8,
Matthew McConaughey,Sahara ,2005,6.0,
Steve Buscemi,Final Fantasy: The Spirits Within ,2001,6.4,
Chris Evans,Captain America: The First Avenger ,2011,6.9,
Colin Salmon,The World Is Not Enough ,1999,6.4,
James D'Arcy,Master and Commander: The Far Side of the World ,2003,7.4,
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,2012,5.5,
Robin Williams,Happy Feet 2 ,2011,5.9,
Ty Burrell,The Incredible Hulk ,2008,6.8,
Don Johnson,Miami Vice             ,0,7.5,
Mark Rylance,The BFG ,2016,6.8,
Leonardo DiCaprio,The Revenant ,2015,8.1,
Ryan Reynolds,Turbo ,2013,6.5,
Johnny Depp,Rango ,2011,7.2,
Benedict Cumberbatch,Penguins of Madagascar ,2014,6.7,
Matt Damon,The Bourne Ultimatum ,2007,8.1,
Angelina Jolie Pitt,Kung Fu Panda ,2008,7.6,
Judy Greer,Ant-Man ,2015,7.4,
Jennifer Lawrence,The Hunger Games: Catching Fire ,2013,7.6,
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,2012,5.5,
Jim Parsons,Home ,2015,6.7,
Tom Cruise,War of the Worlds ,2005,6.5,
Will Smith,Bad Boys II ,2003,6.6,
Salma Hayek,Puss in Boots ,2011,6.7,
Angelina Jolie Pitt,Salt ,2010,6.4,
Anthony Hopkins,Noah ,2014,5.8,
Toby Jones,The Adventures of Tintin ,2011,7.4,
Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,2004,7.8,
Essie Davis,Australia ,2008,6.6,
Will Smith,After Earth ,2013,4.9,
Alfre Woodard,Dinosaur ,2000,6.5,
Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,2011,7.5,
Robin Williams,Night at the Museum: Secret of the Tomb ,2014,6.2,
J.K. Simmons,Megamind ,2010,7.3,
Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,2001,7.5,
Ryan Reynolds,R.I.P.D. ,2013,5.6,
Mark Chinnery,Godzilla Resurgence ,2016,8.2,
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,8.1,
Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,2010,6.4,
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,2014,6.7,
Tom Hanks,The Da Vinci Code ,2006,6.6,
Miguel Ferrer,Rio 2 ,2014,6.4,
Hugh Jackman,X-Men 2 ,2003,7.5,
Paul Walker,Fast Five ,2011,7.3,
Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,2011,7.5,
Liam Neeson,Clash of the Titans ,2010,5.8,
Ronny Cox,Total Recall ,1990,7.5,
Tony Curran,The 13th Warrior ,1999,6.6,
Jeremy Renner,The Bourne Legacy ,2012,6.7,
Michael Gough,Batman & Robin ,1997,3.7,
Clint Howard,How the Grinch Stole Christmas ,2000,6.0,
Jake Gyllenhaal,The Day After Tomorrow ,2004,6.4,
Tom Cruise,Mission: Impossible II ,2000,6.1,
Karen Allen,The Perfect Storm ,2000,6.4,
Chris Evans,Fantastic 4: Rise of the Silver Surfer ,2007,5.6,
Suraj Sharma,Life of Pi ,2012,8.0,
Nicolas Cage,Ghost Rider ,2007,5.2,
Matt Damon,Jason Bourne ,2016,7.1,
Demi Moore,Charlie's Angels: Full Throttle ,2003,4.8,
Michael Fassbender,Prometheus ,2012,7.0,
Nathan Lane,Stuart Little 2 ,2002,5.4,
Matt Damon,Elysium ,2013,6.6,
Vin Diesel,The Chronicles of Riddick ,2004,6.7,
Gary Oldman,RoboCop ,2014,6.2,
Scott Porter,Speed Racer ,2008,6.1,
Shelley Conn,How Do You Know ,2010,5.3,
Tom Cruise,Knight and Day ,2010,6.3,
Morgan Freeman,Oblivion ,2013,7.0,
Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,2005,7.6,
Natalie Portman,Star Wars: Episode II - Attack of the Clones ,2002,6.7,
Steve Buscemi,"Monsters,115000000,1000.0,
Hugh Jackman,The Wolverine ,2013,6.7,
Natalie Portman,Star Wars: Episode I - The Phantom Menace ,1999,6.5,
Ryan Reynolds,The Croods ,2013,7.3,
Alain Delon,Asterix at the Olympic Games ,2008,5.1,
Nicolas Cage,Windtalkers ,2002,6.0,
Chris Hemsworth,The Huntsman: Winter's War ,2016,6.1,
Noel Fisher,Teenage Mutant Ninja Turtles ,2014,5.9,
Phaldut Sharma,Gravity ,2013,7.8,
Jamie Renée Smith,Dante's Peak ,1997,5.8,
Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,6.3,
Tim Blake Nelson,Fantastic Four ,2015,4.3,
Robin Williams,Night at the Museum ,2006,6.4,
Dwayne Johnson,San Andreas ,2015,6.1,
Vincent Schiavelli,Tomorrow Never Dies ,1997,6.5,
Heath Ledger,The Patriot ,2000,7.1,
Brad Pitt,Ocean's Twelve ,2004,6.4,
Brad Pitt,Mr. & Mrs. Smith ,2005,6.5,
Kate Winslet,Insurgent ,2015,6.3,
Leonardo DiCaprio,The Aviator ,2004,7.5,
James Corden,Gulliver's Travels ,2010,4.9,
Christoph Waltz,The Green Hornet ,2011,5.8,
George Peppard,The A-Team             ,0,7.6,
Eva Green,300: Rise of an Empire ,2014,6.2,
Mahadeo Shivraj,The Smurfs ,2011,5.5,
Steve Buscemi,Home on the Range ,2004,5.4,
Naomi Watts,Allegiant ,2016,5.8,
Hugh Jackman,Real Steel ,2011,7.1,
Jacob Tremblay,The Smurfs 2 ,2013,5.4,
Jason Patric,Speed 2: Cruise Control ,1997,3.7,
Harrison Ford,Ender's Game ,2013,6.7,
Bruce Willis,Live Free or Die Hard ,2007,7.2,
Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,2001,8.8,
Jim Broadbent,Around the World in 80 Days ,2004,5.8,
Will Smith,Ali ,2001,6.8,
Sean Hayes,The Cat in the Hat ,2003,3.8,
Will Smith,"I,120000000,981.0,
Liam Neeson,Kingdom of Heaven ,2005,7.2,
Chazz Palminteri,Stuart Little ,1999,5.9,
Oprah Winfrey,The Princess and the Frog ,2009,7.1,
Matt Damon,The Martian ,2015,8.1,
Mathew Buck,"10,0,0.0,
Scarlett Johansson,The Island ,2005,6.9,
Del Zamora,Town & Country ,2001,4.4,
Nicolas Cage,Gone in Sixty Seconds ,2000,6.5,
Djimon Hounsou,Gladiator ,2000,8.5,
Tom Cruise,Minority Report ,2002,7.7,
Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,2002,7.4,
Eva Green,Casino Royale ,2006,8.0,
Cary-Hiroyuki Tagawa,Planet of the Apes ,2001,5.7,
Joe Morton,Terminator 2: Judgment Day ,1991,8.5,
Johnny Depp,Public Enemies ,2009,7.0,
Denzel Washington,American Gangster ,2007,7.8,
Jamie Lee Curtis,True Lies ,1994,7.2,
Denzel Washington,The Taking of Pelham 1 2 3 ,2009,6.4,
Robert De Niro,Little Fockers ,2010,5.5,
Dwayne Johnson,The Other Guys ,2010,6.7,
Vanessa Williams,Eraser ,1996,6.1,
Leonardo DiCaprio,Django Unchained ,2012,8.5,
Demi Moore,The Hunchback of Notre Dame ,1996,6.9,
Eartha Kitt,The Emperor's New Groove ,2000,7.3,
Jason Statham,The Expendables 2 ,2012,6.7,
Nicolas Cage,National Treasure ,2004,6.9,
Djimon Hounsou,Eragon ,2006,5.1,
Catherine O'Hara,Where the Wild Things Are ,2009,6.8,
Hugh Jackman,Pan ,2015,5.8,
Josh Hutcherson,Epic ,2013,6.7,
Johnny Depp,The Tourist ,2010,6.0,
CCH Pounder,End of Days ,1999,5.7,
Leonardo DiCaprio,Blood Diamond ,2006,8.0,
Leonardo DiCaprio,The Wolf of Wall Street ,2013,8.2,
Michael Gough,Batman Forever ,1995,5.4,
Jake Busey,Starship Troopers ,1997,7.2,
Tom Hanks,Cloud Atlas ,2012,7.5,
Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole ,2010,7.0,
Frances Conroy,Catwoman ,2004,3.3,
Dwayne Johnson,Hercules ,2014,6.0,
Joseph Gordon-Levitt,Treasure Planet ,2002,7.1,
Will Ferrell,Land of the Lost ,2009,5.4,
Jason Statham,The Expendables 3 ,2014,6.1,
Ray Winstone,Point Break ,2015,5.3,
Jamie Kennedy,Son of the Mask ,2005,2.2,
Chris Hemsworth,In the Heart of the Sea ,2015,7.0,
Rosario Dawson,The Adventures of Pluto Nash ,2002,3.8,
Matt Damon,Green Zone ,2010,6.9,
Francesca Capaldi,The Peanuts Movie ,2015,7.2,
Ben Gazzara,The Spanish Prisoner ,1997,7.3,
Dwayne Johnson,The Mummy Returns ,2001,6.3,
Leonardo DiCaprio,Gangs of New York ,2002,7.5,
Christian Bale,The Flowers of War ,2011,7.6,
Jeff Bridges,Surf's Up ,2007,6.8,
Jon Lovitz,The Stepford Wives ,2004,5.2,
Ioan Gruffudd,Black Hawk Down ,2001,7.7,
Will Ferrell,The Campaign ,2012,6.2,
Milla Jovovich,The Fifth Element ,1997,7.7,
Chris Noth,Sex and the City 2 ,2010,4.3,
Frank Welker,The Road to El Dorado ,2000,6.9,
Peter Dinklage,Ice Age: Continental Drift ,2012,6.6,
Hayley Atwell,Cinderella ,2015,7.0,
Michael Imperioli,The Lovely Bones ,2009,6.7,
Alexander Gould,Finding Nemo ,2003,8.2,
Orlando Bloom,The Lord of the Rings: The Return of the King ,2003,8.9,
Christopher Lee,The Lord of the Rings: The Two Towers ,2002,8.7,
Jeff Bridges,Seventh Son ,2014,5.5,
Angelina Jolie Pitt,Lara Croft: Tomb Raider ,2001,5.7,
Johnny Depp,Transcendence ,2014,6.3,
Michael Jeter,Jurassic Park III ,2001,5.9,
James Franco,Rise of the Planet of the Apes ,2011,7.6,
Martin Short,The Spiderwick Chronicles ,2008,6.6,
Bruce Willis,A Good Day to Die Hard ,2013,5.3,
Dennis Quaid,The Alamo ,2004,6.0,
Holly Hunter,The Incredibles ,2004,8.0,
Christopher Masterson,Cutthroat Island ,1995,5.6,
Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,2010,5.9,
Will Smith,Men in Black ,1997,7.3,
Tom Hanks,Toy Story 2 ,1999,7.9,
Denzel Washington,Unstoppable ,2010,6.8,
Mei Melançon,Rush Hour 2 ,2001,6.6,
Harrison Ford,What Lies Beneath ,2000,6.6,
Will Forte,Cloudy with a Chance of Meatballs ,2009,7.0,
Denis Leary,Ice Age: Dawn of the Dinosaurs ,2009,7.0,
Adam Scott,The Secret Life of Walter Mitty ,2013,7.3,
Bill Murray,Charlie's Angels ,2000,5.5,
Leonardo DiCaprio,The Departed ,2006,8.5,
Ming-Na Wen,Mulan ,1998,7.5,
Robert Downey Jr.,Tropic Thunder ,2008,7.0,
Robin Wright,The Girl with the Dragon Tattoo ,2011,7.8,
Bruce Willis,Die Hard with a Vengeance ,1995,7.6,
Robert Downey Jr.,Sherlock Holmes ,2009,7.6,
Morgan Freeman,Ben-Hur ,2016,6.1,
Leonard Nimoy,Atlantis: The Lost Empire ,2001,6.8,
Bella Thorne,Alvin and the Chipmunks: The Road Chip ,2015,5.0,
Tom Cruise,Valkyrie ,2008,7.1,
Adam Sandler,You Don't Mess with the Zohan ,2008,5.5,
Peter Dinklage,Pixels ,2015,5.6,
Haley Joel Osment,A.I. Artificial Intelligence ,2001,7.1,
Marsha Thomason,The Haunted Mansion ,2003,4.9,
Matthew McConaughey,Contact ,1997,7.4,
Greg Grunberg,Hollow Man ,2000,5.7,
Curtiss Cook,The Interpreter ,2005,6.4,
Logan Lerman,Percy Jackson: Sea of Monsters ,2013,5.9,
Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life ,2003,5.5,
Daniel Radcliffe,Now You See Me 2 ,2016,6.9,
Alun Armstrong,The Saint ,1997,6.2,
Brad Pitt,Spy Game ,2001,7.0,
Don Cheadle,Mission to Mars ,2000,5.6,
Anne Hathaway,Rio ,2011,7.0,
Robin Williams,Bicentennial Man ,1999,6.8,
Don Cheadle,Volcano ,1997,5.4,
Harrison Ford,The Devil's Own ,1997,6.1,
Liam Neeson,K-19: The Widowmaker ,2002,6.7,
Tim Blake Nelson,Fantastic Four ,2015,4.3,
William Smith,Conan the Barbarian ,1982,6.9,
Paddy Considine,Cinderella Man ,2005,8.0,
Shirley Henderson,The Nutcracker in 3D ,2010,4.4,
Jeff Bridges,Seabiscuit ,2003,7.3,
Philip Seymour Hoffman,Twister ,1996,6.3,
Paul Walker,The Fast and the Furious ,2001,6.7,
Tom Hanks,Cast Away ,2000,7.7,
Robin Williams,Happy Feet ,2006,6.5,
Matt Damon,The Bourne Supremacy ,2004,7.8,
Harrison Ford,Air Force One ,1997,6.4,
Brad Pitt,Ocean's Eleven ,2001,7.8,
Milla Jovovich,The Three Musketeers ,2011,5.8,
Steve Buscemi,Hotel Transylvania ,2012,7.1,
Jeff Bennett,Enchanted ,2007,7.1,
Caroline Dhavernas,Hannibal             ,0,8.6,
Denzel Washington,Safe House ,2012,6.8,
Ioan Gruffudd,102 Dalmatians ,2000,4.8,
Matthew Broderick,Tower Heist ,2011,6.2,
Kate Winslet,The Holiday ,2006,6.9,
Will Smith,Enemy of the State ,1998,7.3,
Meryl Streep,It's Complicated ,2009,6.6,
Al Pacino,Ocean's Thirteen ,2007,6.9,
Jon Favreau,Open Season ,2006,6.2,
Kate Winslet,Divergent ,2014,6.7,
Bob Hoskins,Enemy at the Gates ,2001,7.6,
Dwayne Johnson,The Rundown ,2003,6.7,
F. Murray Abraham,Last Action Hero ,1993,6.2,
Li Gong,Memoirs of a Geisha ,2005,7.3,
Amber Stevens West,The Fast and the Furious: Tokyo Drift ,2006,6.0,
Jim Broadbent,Arthur Christmas ,2011,7.1,
Anthony Hopkins,Meet Joe Black ,1998,7.1,
Raymond Cruz,Collateral Damage ,2002,5.5,
Roy Scheider,All That Jazz ,1979,7.8,
Julia Roberts,Mirror Mirror ,2012,5.6,
Anna Kendrick,Scott Pilgrim vs. the World ,2010,7.5,
Glenn Morshower,The Core ,2003,5.4,
Larry Miller,Nutty Professor II: The Klumps ,2000,4.3,
Sarah Michelle Gellar,Scooby-Doo ,2002,4.9,
Wood Harris,Dredd ,2012,7.1,
Adam Sandler,Click ,2006,6.4,
Ted Danson,Creepshow ,1982,6.9,
Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore ,2010,4.3,
Kristen Stewart,Jumper ,2008,6.1,
Seth MacFarlane,Hellboy II: The Golden Army ,2008,7.0,
Robert Downey Jr.,Zodiac ,2007,7.7,
Robert Duvall,The 6th Day ,2000,5.9,
Morgan Freeman,Bruce Almighty ,2003,6.7,
Jason Statham,The Expendables ,2010,6.5,
Tom Cruise,Mission: Impossible ,1996,7.1,
Jennifer Lawrence,The Hunger Games ,2012,7.3,
Bradley Cooper,The Hangover Part II ,2011,6.5,
Michael Gough,Batman Returns ,1992,7.0,
Bruce Willis,Over the Hedge ,2006,6.8,
Tia Carrere,Lilo & Stitch ,2002,7.2,
Steve Buscemi,Charlotte's Web ,2006,6.4,
Morgan Freeman,Deep Impact ,1998,6.1,
Bruce Willis,RED 2 ,2013,6.7,
Adam Sandler,The Longest Yard ,2005,6.4,
Amy Poehler,Alvin and the Chipmunks: Chipwrecked ,2011,4.4,
Steve Buscemi,Grown Ups 2 ,2013,5.4,
Bill Murray,Get Smart ,2008,6.5,
Keanu Reeves,Something's Gotta Give ,2003,6.7,
Leonardo DiCaprio,Shutter Island ,2010,8.1,
Jon Favreau,Four Christmases ,2008,5.6,
Jim Broadbent,Robots ,2005,6.3,
Nicolas Cage,Face/Off ,1997,7.3,
Adam Sandler,Bedtime Stories ,2008,6.1,
Tom Hanks,Road to Perdition ,2002,7.7,
Adam Sandler,Just Go with It ,2011,6.4,
Elden Henson,Daredevil             ,0,8.8,
Steve Buscemi,Con Air ,1997,6.8,
Rosario Dawson,Eagle Eye ,2008,6.6,
Philip Seymour Hoffman,Cold Mountain ,2003,7.2,
Denzel Washington,The Book of Eli ,2010,6.9,
Robin Williams,Flubber ,1997,5.2,
Liam Neeson,The Haunting ,1999,4.9,
Bill Murray,Space Jam ,1996,6.3,
Roger Rees,The Pink Panther ,2006,5.6,
Keanu Reeves,The Day the Earth Stood Still ,2008,5.5,
Julia Roberts,Conspiracy Theory ,1997,6.7,
Brad Pitt,Fury ,2014,7.6,
Harrison Ford,Six Days Seven Nights ,1998,5.7,
Justin Timberlake,Yogi Bear ,2010,4.6,
Matt Damon,Spirit: Stallion of the Cimarron ,2002,7.0,
Rosario Dawson,Zookeeper ,2011,5.2,
Gary Oldman,Lost in Space ,1998,5.1,
Denzel Washington,The Manchurian Candidate ,2004,6.6,
Vanessa Redgrave,Déjà Vu ,1997,7.0,
Steve Buscemi,Hotel Transylvania 2 ,2015,6.7,
Elizabeth Montgomery,Bewitched             ,0,7.6,
Quincy Jones,Fantasia 2000 ,1999,7.3,
Mark Addy,The Time Machine ,2002,5.9,
Charlize Theron,Mighty Joe Young ,1998,5.6,
Hugh Jackman,Swordfish ,2001,6.5,
Michael Emerson,The Legend of Zorro ,2005,5.9,
Robin Williams,What Dreams May Come ,1998,7.0,
Adam Sandler,Little Nicky ,2000,5.3,
Matt Damon,The Brothers Grimm ,2005,5.9,
Natalie Portman,Mars Attacks! ,1996,6.3,
Nissim Renard,Evolution ,2015,6.4,
Anthony Hopkins,The Edge ,1997,6.9,
Bruce Willis,Surrogates ,2009,6.3,
Bruce Greenwood,Thirteen Days ,2000,7.3,
Sylvester Stallone,Daylight ,1996,5.8,
Charlie Rowe,Walking with Dinosaurs 3D ,2013,5.2,
Richard Tyson,Battlefield Earth ,2000,2.4,
Brendan Fraser,Looney Tunes: Back in Action ,2003,5.7,
Fergie,Nine ,2009,5.8,
Paul Walker,Timeline ,2003,5.6,
